quality,alcohol,sulphates,citric acid,volatile acidity,total sulfur dioxide,chlorides,fixed acidity
0,10.8,0.6,0.14,0.6,15.0,0.086,7.8
1,9.7,0.73,0.28,0.38,30.0,0.066,8.1
0,9.8,0.48,0.09,1.13,19.0,0.172,5.7
0,10.5,0.83,0.36,0.45,87.0,0.07400000000000001,7.3
0,9.3,0.51,0.3,0.61,46.0,0.08800000000000001,8.8
0,10.5,0.9,0.2,0.49,14.0,0.332,7.5
0,10.3,1.2,0.22,0.66,23.0,0.069,8.1
0,9.5,0.52,0.02,0.67,11.0,0.05,6.8
0,13.1,0.56,0.15,0.52,65.0,0.054000000000000006,4.6
0,9.2,0.73,0.43,0.935,114.0,0.114,7.7
0,9.5,0.58,0.52,0.29,37.0,0.113,8.7
0,9.2,0.56,0.23,0.4,12.0,0.066,6.4
0,9.2,0.58,0.37,0.31,96.0,0.07400000000000001,5.6
0,9.2,0.74,0.26,0.66,23.0,0.07400000000000001,8.8
0,9.4,0.63,0.04,0.52,15.0,0.069,6.6
0,9.4,0.64,0.04,0.5,14.0,0.068,6.6
0,9.4,0.56,0.36,0.38,119.0,0.081,8.6
0,10.2,0.63,0.15,0.51,73.0,0.11,7.6
0,9.5,0.53,0.04,0.62,45.0,0.084,7.7
0,9.6,0.63,0.57,0.42,10.0,0.07,10.2
0,9.4,0.77,0.12,0.63,110.0,0.111,7.5
0,10.0,0.59,0.18,0.59,54.0,0.076,7.8
0,9.4,0.54,0.31,0.39,46.0,0.07400000000000001,7.3
0,9.2,0.64,0.4,0.4,52.0,0.079,8.8
0,9.3,0.71,0.49,0.69,112.0,0.115,7.7
1,9.5,0.62,0.16,0.52,35.0,0.085,7.5
0,9.8,0.57,0.05,0.735,54.0,0.081,7.0
0,10.9,0.39,0.05,0.725,11.0,0.086,7.2
0,9.6,0.58,0.11,0.52,39.0,0.079,7.5
0,10.7,0.58,0.07,0.705,15.0,0.076,6.6
0,10.7,0.79,0.57,0.32,65.0,0.07400000000000001,9.3
0,10.5,0.95,0.05,0.705,19.0,0.07400000000000001,8.0
0,9.5,0.54,0.08,0.63,27.0,0.076,7.7
0,9.5,0.48,0.23,0.67,96.0,0.08800000000000001,7.7
0,9.5,0.48,0.22,0.69,94.0,0.084,7.7
0,9.2,0.53,0.26,0.675,43.0,0.084,8.3
0,9.6,0.82,0.54,0.32,83.0,0.094,9.7
0,10.5,0.66,0.64,0.41,42.0,0.093,8.8
0,10.7,0.55,0.0,0.785,30.0,0.104,6.8
0,10.1,0.52,0.12,0.75,80.0,0.086,6.7
0,9.1,1.12,0.2,0.625,119.0,0.08,8.3
0,9.2,0.56,0.2,0.45,15.0,0.069,6.2
0,9.4,1.28,0.7,0.43,67.0,0.464,7.8
0,9.1,0.57,0.47,0.5,73.0,0.086,7.4
0,9.4,1.14,0.26,0.67,51.0,0.401,7.3
0,10.3,0.78,0.48,0.3,61.0,0.069,6.3
0,10.1,0.59,0.15,0.55,40.0,0.076,6.9
0,9.9,1.95,0.28,0.49,136.0,0.11,8.6
0,9.6,0.64,0.26,0.49,31.0,0.062,7.7
0,9.5,1.22,0.44,0.39,125.0,0.107,9.3
0,9.0,0.53,0.08,0.62,24.0,0.076,7.0
0,9.5,0.54,0.26,0.52,140.0,0.079,7.9
0,9.8,1.98,0.29,0.49,133.0,0.11,8.6
0,10.5,0.48,0.04,1.02,85.0,0.045,5.0
0,12.9,0.6,0.17,0.6,106.0,0.058,4.7
0,10.7,0.56,0.0,0.775,23.0,0.102,6.8
0,9.2,0.63,0.25,0.5,22.0,0.07,7.0
0,9.8,0.56,0.06,0.9,10.0,0.079,7.6
0,9.0,0.59,0.18,0.545,35.0,0.08,8.1
0,10.2,0.61,0.3,0.61,50.0,0.084,8.3
0,10.4,0.56,0.3,0.5,22.0,0.075,7.8
0,9.2,0.51,0.22,0.575,65.0,0.077,8.1
0,9.4,0.48,0.24,0.49,36.0,0.07,7.2
0,9.3,1.31,0.68,0.41,69.0,0.467,7.8
0,9.3,0.79,0.31,0.63,64.0,0.08800000000000001,6.2
0,9.6,0.8,0.53,0.33,80.0,0.091,8.0
0,9.3,0.69,0.52,0.785,153.0,0.122,8.1
0,9.5,0.93,0.19,0.56,47.0,0.104,7.8
0,9.8,0.66,0.09,0.62,108.0,0.084,8.4
0,9.8,0.66,0.1,0.6,111.0,0.085,8.4
0,9.7,0.67,0.44,0.31,46.0,0.08,10.1
0,10.5,0.63,0.31,0.4,62.0,0.09,9.4
0,10.0,0.61,0.28,0.54,40.0,0.077,8.3
0,9.4,0.5,0.12,0.56,28.0,0.08199999999999999,7.8
0,10.9,0.6,0.04,0.55,56.0,0.119,8.8
0,9.2,0.54,0.08,0.69,89.0,0.097,7.0
0,9.0,0.57,0.09,1.07,89.0,0.17800000000000002,7.3
0,9.2,0.52,0.0,0.695,13.0,0.075,7.3
0,9.5,0.53,0.0,0.71,34.0,0.08,8.0
0,9.5,0.48,0.17,0.5,102.0,0.08199999999999999,7.8
0,9.4,0.7,0.04,0.62,90.0,0.146,9.0
0,10.9,0.49,0.0,1.33,12.0,0.081,8.2
0,10.9,0.48,0.0,1.33,12.0,0.08199999999999999,8.1
1,10.5,0.92,0.16,0.59,16.0,0.065,8.0
0,9.4,0.57,0.15,0.38,19.0,0.07200000000000001,6.1
0,9.4,0.66,0.56,0.745,134.0,0.118,8.0
0,13.0,0.63,0.09,0.5,99.0,0.049,5.6
0,9.8,0.58,0.01,0.5,26.0,0.06,6.6
0,9.9,0.55,0.05,1.04,29.0,0.084,7.9
0,9.6,0.82,0.11,0.745,63.0,0.09,8.4
0,9.5,0.77,0.15,0.715,52.0,0.08900000000000001,8.3
0,9.2,0.64,0.36,0.415,45.0,0.081,7.2
0,9.5,0.54,0.19,0.56,105.0,0.081,7.8
0,9.5,0.54,0.19,0.56,108.0,0.081,7.8
0,14.0,0.79,0.0,0.34,63.0,0.05,5.2
0,9.4,0.58,0.08,0.39,20.0,0.066,6.3
0,9.4,0.62,0.55,0.67,141.0,0.117,8.1
0,10.0,0.52,0.02,0.68,94.0,0.087,5.8
0,9.3,0.8,0.26,0.49,88.0,0.236,7.6
0,10.2,0.58,0.1,0.49,30.0,0.07400000000000001,6.9
0,10.5,0.61,0.44,0.4,43.0,0.08900000000000001,8.2
0,10.3,0.53,0.47,0.33,11.0,0.077,7.3
0,9.4,2.0,1.0,0.52,69.0,0.61,9.2
0,10.1,0.54,0.03,0.6,99.0,0.095,7.5
0,10.5,0.72,0.42,0.43,129.0,0.07,7.1
0,10.5,0.71,0.42,0.43,128.0,0.071,7.1
0,9.3,0.5,0.0,0.68,22.0,0.073,7.1
0,9.3,0.57,0.18,0.6,86.0,0.079,6.8
0,9.6,0.56,0.03,0.95,20.0,0.09,7.6
0,9.2,1.08,0.02,0.68,20.0,0.07200000000000001,7.6
0,10.0,0.56,0.04,0.53,31.0,0.076,7.8
0,9.4,0.49,0.26,0.6,121.0,0.07,7.4
0,9.4,0.49,0.26,0.59,121.0,0.07,7.3
0,9.5,0.62,0.48,0.63,96.0,0.1,7.8
0,10.2,0.52,0.1,0.64,101.0,0.085,6.8
0,9.0,0.48,0.03,0.55,42.0,0.07200000000000001,7.3
0,10.4,0.55,0.07,0.63,44.0,0.08900000000000001,6.8
0,9.5,1.59,0.24,0.705,63.0,0.36,7.5
0,9.1,0.33,0.03,0.885,8.0,0.058,7.9
0,9.2,0.61,0.17,0.42,18.0,0.073,8.0
0,11.5,0.57,0.05,0.62,42.0,0.068,7.4
0,9.5,0.47,0.21,0.38,35.0,0.08,7.3
0,9.5,0.78,0.04,0.5,49.0,0.085,6.9
0,10.5,0.61,0.42,0.52,38.0,0.087,7.5
0,9.6,0.56,0.0,0.805,20.0,0.068,7.0
0,9.5,0.59,0.14,0.61,42.0,0.067,8.8
0,9.3,1.02,0.49,0.61,110.0,0.27,8.9
0,9.3,0.52,0.02,0.73,42.0,0.076,7.2
0,9.3,0.58,0.2,0.61,65.0,0.077,6.8
0,9.3,0.58,0.21,0.62,62.0,0.079,6.7
0,9.7,0.53,0.57,0.31,85.0,0.111,8.9
0,9.2,0.55,0.48,0.39,67.0,0.08199999999999999,7.4
0,9.7,0.49,0.1,0.705,26.0,0.084,7.7
0,9.5,0.55,0.33,0.5,143.0,0.084,7.9
0,9.5,0.55,0.32,0.49,144.0,0.08199999999999999,7.9
0,9.4,0.62,0.35,0.5,127.0,0.077,8.2
0,9.8,0.62,0.25,0.37,49.0,0.07400000000000001,6.4
0,9.5,0.61,0.12,0.63,126.0,0.099,6.8
0,9.7,0.55,0.21,0.55,28.0,0.071,7.6
0,9.4,0.54,0.33,0.59,120.0,0.07400000000000001,7.8
0,10.2,0.59,0.3,0.58,55.0,0.07400000000000001,7.3
0,10.1,0.97,0.6,0.3,27.0,0.067,11.5
1,13.0,0.85,0.08,0.835,93.0,0.046,5.4
0,11.4,0.43,0.06,1.09,31.0,0.061,6.9
1,10.3,0.82,0.47,0.32,24.0,0.056,9.6
0,9.3,1.03,0.48,0.37,145.0,0.097,8.8
0,9.5,0.79,0.11,0.5,49.0,0.075,6.8
0,9.2,0.55,0.35,0.42,39.0,0.08800000000000001,7.0
0,9.2,0.56,0.36,0.43,37.0,0.08900000000000001,7.0
1,10.8,0.77,0.74,0.3,28.0,0.095,12.8
0,9.3,0.53,0.31,0.57,120.0,0.069,7.8
0,9.4,0.67,0.28,0.44,95.0,0.1,7.8
1,10.5,0.88,0.58,0.3,19.0,0.054000000000000006,11.0
0,12.4,0.86,0.6,0.53,19.0,0.039,9.7
0,10.0,0.56,0.24,0.725,62.0,0.083,8.0
0,10.2,0.67,0.64,0.44,15.0,0.059,11.6
0,10.1,0.43,0.26,0.57,65.0,0.06,8.2
0,9.8,0.71,0.08,0.735,41.0,0.092,7.8
0,10.5,0.76,0.49,0.49,121.0,0.06,7.0
0,11.0,0.57,0.16,0.625,49.0,0.101,8.7
0,9.1,0.55,0.22,0.725,41.0,0.07200000000000001,8.1
0,9.7,0.54,0.19,0.49,44.0,0.076,7.5
0,9.5,0.6,0.33,0.53,144.0,0.08,7.8
0,9.4,0.59,0.37,0.34,58.0,0.08199999999999999,7.8
0,9.4,0.57,0.26,0.53,72.0,0.101,7.4
0,9.5,0.6,0.04,0.61,10.0,0.057,6.8
0,10.0,0.6,0.25,0.645,28.0,0.083,8.6
0,10.4,0.57,0.36,0.635,55.0,0.08900000000000001,8.4
0,10.5,0.58,0.25,0.43,63.0,0.073,7.7
0,9.5,1.61,0.5,0.59,81.0,0.337,8.9
0,9.8,0.63,0.14,0.82,23.0,0.08900000000000001,9.0
0,11.0,0.5,0.25,0.52,37.0,0.081,6.9
1,12.2,0.62,0.04,0.48,106.0,0.054000000000000006,5.2
0,9.9,0.52,0.06,0.38,49.0,0.078,8.0
0,9.6,0.7,0.2,0.37,58.0,0.09,8.5
0,9.0,0.55,0.09,1.0,37.0,0.065,8.2
0,9.0,0.58,0.0,0.63,38.0,0.097,7.2
0,9.2,0.58,0.0,0.645,39.0,0.097,7.2
0,9.3,1.09,0.37,0.635,62.0,0.263,8.9
0,10.9,0.71,0.56,0.38,24.0,0.093,12.0
0,9.8,0.49,0.1,0.58,109.0,0.102,7.7
1,9.2,0.84,0.44,0.21,24.0,0.075,15.0
0,9.9,0.96,0.0,0.66,23.0,0.084,7.3
0,9.5,0.52,0.07,0.68,51.0,0.075,7.1
0,9.3,0.45,0.17,0.6,73.0,0.07200000000000001,8.2
0,9.8,0.48,0.06,0.53,39.0,0.07400000000000001,7.7
0,10.0,0.78,0.44,0.32,37.0,0.063,10.8
0,9.9,0.7,0.0,0.6,34.0,0.07400000000000001,7.1
0,10.5,0.53,0.48,0.35,21.0,0.09,11.1
0,9.5,0.59,0.42,0.775,86.0,0.092,7.7
0,9.3,0.57,0.23,0.57,119.0,0.073,8.0
0,9.2,0.62,0.37,0.34,13.0,0.075,9.4
0,9.2,0.67,0.0,0.695,56.0,0.075,6.6
0,9.4,1.26,0.76,0.41,45.0,0.611,7.7
1,10.5,0.8,0.47,0.31,33.0,0.085,10.0
0,9.3,0.65,0.23,0.33,45.0,0.077,7.9
0,9.4,0.6,0.04,0.975,67.0,0.087,7.0
0,10.0,0.57,0.03,0.52,35.0,0.07,8.0
0,9.3,0.67,0.23,0.37,49.0,0.077,7.9
0,10.9,0.87,0.49,0.56,27.0,0.064,12.5
1,10.2,0.72,0.52,0.26,10.0,0.071,11.8
0,9.8,0.72,0.0,0.87,61.0,0.096,8.1
1,12.8,0.86,0.46,0.35,37.0,0.078,7.9
0,9.4,0.91,0.04,0.54,27.0,0.077,6.9
0,10.1,0.97,0.51,0.18,23.0,0.104,11.5
0,10.7,0.67,0.06,0.545,61.0,0.087,7.9
0,10.1,0.78,0.58,0.37,65.0,0.071,10.9
0,9.4,0.64,0.2,0.715,38.0,0.076,8.4
0,9.4,0.77,0.18,0.65,94.0,0.08800000000000001,7.5
1,12.6,0.82,0.45,0.32,13.0,0.073,10.3
1,10.5,0.77,0.32,0.4,47.0,0.087,8.9
0,9.3,0.82,0.44,0.26,19.0,0.071,11.4
1,9.9,1.08,0.68,0.27,10.0,0.358,7.7
0,9.1,0.57,0.12,0.52,53.0,0.067,7.6
0,9.8,0.71,0.07,0.59,71.0,0.102,9.9
0,10.3,0.76,0.55,0.45,49.0,0.073,12.0
0,10.3,0.7,0.12,0.4,53.0,0.092,7.5
1,10.6,0.86,0.09,0.52,49.0,0.091,8.7
0,9.2,0.95,0.53,0.42,98.0,0.105,11.6
0,10.5,0.71,0.48,0.2,18.0,0.343,11.0
0,10.3,0.64,0.23,0.55,48.0,0.091,10.4
0,10.1,0.6,0.25,0.36,16.0,0.098,6.9
0,9.5,0.81,0.52,0.34,53.0,0.094,13.3
0,9.5,0.64,0.46,0.5,27.0,0.073,10.8
0,9.9,0.52,0.37,0.83,70.0,0.086,10.6
0,9.6,0.73,0.06,0.63,29.0,0.083,7.1
0,9.7,0.8,0.02,0.65,31.0,0.094,7.2
0,9.6,0.71,0.06,0.67,33.0,0.08,6.9
0,10.7,0.59,0.06,0.53,44.0,0.086,7.5
0,10.1,0.64,0.48,0.18,15.0,0.068,11.1
0,10.0,0.72,0.12,0.705,28.0,0.092,8.3
0,9.5,0.54,0.12,0.67,21.0,0.18600000000000005,7.4
0,9.2,0.52,0.6,0.65,90.0,0.112,8.4
0,9.3,0.59,0.48,0.53,25.0,0.063,10.3
0,9.4,0.52,0.32,0.62,54.0,0.08199999999999999,7.6
0,9.5,0.62,0.42,0.41,14.0,0.213,10.3
0,9.5,0.63,0.44,0.43,12.0,0.214,10.3
0,9.5,0.53,0.38,0.29,30.0,0.062,7.4
0,9.4,0.54,0.24,0.53,105.0,0.07200000000000001,7.9
0,9.5,0.63,0.31,0.46,98.0,0.093,9.0
0,9.4,0.53,0.3,0.47,135.0,0.076,8.6
0,11.0,0.68,0.29,0.36,72.0,0.087,7.4
0,11.0,0.65,0.29,0.35,53.0,0.096,7.1
0,10.1,0.65,0.23,0.56,92.0,0.102,9.6
0,10.4,0.64,0.12,0.77,74.0,0.08199999999999999,9.6
1,11.5,0.71,0.39,0.66,59.0,0.083,9.8
0,9.7,0.62,0.26,0.61,87.0,0.09,9.3
0,9.3,0.63,0.05,0.62,18.0,0.079,7.8
0,9.5,0.7,0.42,0.59,73.0,0.09,10.3
0,9.2,0.69,0.2,0.49,50.0,0.071,10.0
1,11.5,0.74,0.66,0.53,14.0,0.121,11.6
0,11.5,0.83,0.5,0.44,13.0,0.107,10.3
0,9.7,0.67,0.62,0.27,21.0,0.08199999999999999,13.4
0,9.5,0.62,0.39,0.46,15.0,0.061,10.7
0,12.5,0.66,0.64,0.36,41.0,0.122,10.2
0,9.4,0.54,0.28,0.58,114.0,0.066,8.0
0,11.0,0.52,0.08,0.56,44.0,0.105,8.4
1,11.7,0.74,0.01,0.65,38.0,0.078,7.9
1,12.2,0.84,0.53,0.695,21.0,0.128,11.9
0,12.5,0.7,0.45,0.43,16.0,0.052000000000000005,8.9
0,10.3,0.64,0.32,0.43,58.0,0.08,7.8
0,11.5,1.0,0.58,0.49,99.0,0.103,12.4
1,9.8,1.36,0.54,0.28,29.0,0.08199999999999999,12.5
0,9.2,1.18,0.5,0.34,21.0,0.066,12.2
0,11.3,0.87,0.48,0.42,18.0,0.065,10.6
0,9.8,0.75,0.47,0.39,14.0,0.118,10.9
0,10.7,0.78,0.5,0.57,32.0,0.08199999999999999,11.9
0,9.9,0.81,0.0,0.685,63.0,0.067,7.0
1,12.3,0.89,0.02,0.815,34.0,0.07200000000000001,6.6
0,12.0,0.93,0.67,0.49,15.0,0.093,13.8
0,10.0,0.92,0.31,0.56,46.0,0.08900000000000001,9.6
0,9.4,0.86,0.0,0.785,28.0,0.093,9.1
0,9.9,0.98,0.22,0.67,34.0,0.107,10.7
0,9.4,0.83,0.0,0.795,26.0,0.096,9.1
0,9.3,0.73,0.0,0.665,19.0,0.09,7.7
0,13.0,0.77,0.79,0.53,77.0,0.12,13.5
0,11.9,0.59,0.4,0.21,165.0,0.066,6.1
0,12.8,0.61,0.01,0.75,32.0,0.078,6.7
0,11.0,0.88,0.52,0.41,55.0,0.08,11.5
1,11.7,0.75,0.66,0.42,29.0,0.116,10.5
1,10.4,0.85,0.66,0.43,23.0,0.109,11.9
0,9.8,0.68,0.66,0.38,41.0,0.08800000000000001,12.6
0,9.4,0.7,0.23,0.7,81.0,0.099,8.2
0,9.9,0.91,0.31,0.45,50.0,0.086,8.6
0,10.0,0.56,0.66,0.58,37.0,0.07200000000000001,11.9
0,10.2,0.87,0.63,0.46,15.0,0.071,12.5
1,10.0,0.73,0.66,0.615,42.0,0.083,12.8
0,11.8,0.93,0.5,0.42,21.0,0.107,10.0
0,9.0,0.69,0.61,0.575,24.0,0.076,10.4
0,9.4,0.64,0.52,0.34,75.0,0.159,10.3
1,12.0,1.13,0.53,0.27,18.0,0.07400000000000001,9.4
0,9.9,0.78,0.02,0.765,63.0,0.063,6.9
0,8.7,0.87,0.4,0.24,25.0,0.056,7.9
0,10.6,1.04,0.48,0.28,46.0,0.067,9.1
0,9.2,0.63,0.22,0.55,72.0,0.106,7.4
0,10.8,0.81,0.63,0.41,47.0,0.08900000000000001,14.0
1,11.8,0.83,0.71,0.54,15.0,0.124,11.5
0,11.0,1.11,0.5,0.45,47.0,0.078,11.5
0,13.3,0.99,0.66,0.625,24.0,0.08800000000000001,11.4
0,10.8,0.7,0.38,0.42,60.0,0.094,8.3
0,9.4,0.8,0.42,0.26,27.0,0.08,8.3
0,10.0,0.8,0.68,0.415,43.0,0.085,13.7
0,9.2,0.74,0.28,0.51,54.0,0.087,7.7
0,9.7,0.76,0.07,0.63,37.0,0.09,7.4
0,9.2,0.74,0.26,0.54,48.0,0.08800000000000001,7.8
0,9.6,0.54,0.15,0.66,42.0,0.079,8.3
0,9.2,0.74,0.26,0.46,53.0,0.08800000000000001,7.8
1,10.0,0.7,0.31,0.38,49.0,0.096,9.6
1,12.9,0.82,0.05,0.85,88.0,0.045,5.6
0,9.5,0.51,0.52,0.37,26.0,0.08199999999999999,9.5
0,9.1,0.54,0.61,0.665,95.0,0.112,8.4
0,9.9,0.57,0.65,0.6,25.0,0.063,12.7
1,13.0,0.6,0.76,0.37,38.0,0.066,12.0
0,9.9,0.53,0.02,0.735,124.0,0.122,6.6
0,11.0,0.65,0.59,0.59,49.0,0.087,11.5
0,9.4,0.55,0.22,0.765,42.0,0.064,8.7
0,10.8,0.47,0.3,0.26,38.0,0.059,7.7
0,10.5,0.61,0.54,0.48,64.0,0.085,12.2
0,10.5,0.63,0.49,0.6,41.0,0.085,11.4
0,9.1,0.61,0.05,0.69,27.0,0.075,7.7
0,10.1,0.76,0.46,0.31,25.0,0.059,8.7
0,10.8,0.65,0.47,0.44,28.0,0.063,9.8
1,10.8,0.63,0.66,0.39,30.0,0.093,12.0
0,11.3,0.7,0.58,0.34,16.0,0.174,10.4
0,9.6,0.57,0.49,0.46,49.0,0.07,12.5
0,9.5,0.62,0.34,0.43,86.0,0.08,9.0
0,9.5,0.62,0.35,0.45,78.0,0.08,9.1
0,9.3,0.64,0.16,0.735,77.0,0.1,7.1
1,11.7,0.82,0.53,0.4,19.0,0.097,9.9
0,9.5,0.61,0.34,0.52,122.0,0.087,8.8
0,9.3,1.07,0.24,0.725,134.0,0.117,8.6
0,11.7,0.66,0.64,0.48,20.0,0.111,10.6
0,10.5,0.48,0.12,0.58,124.0,0.091,7.0
0,10.4,0.76,0.51,0.38,20.0,0.121,11.9
0,9.9,0.68,0.0,0.77,52.0,0.066,6.8
1,11.8,0.73,0.33,0.56,67.0,0.08900000000000001,9.5
1,12.3,0.56,0.03,0.84,48.0,0.059,6.6
0,10.9,0.44,0.2,0.96,60.0,0.047,7.7
1,11.0,0.9,0.47,0.24,24.0,0.066,10.5
0,11.4,0.49,0.08,0.67,48.0,0.045,6.4
0,10.6,0.56,0.22,0.78,32.0,0.077,9.5
0,9.3,0.6,0.33,0.52,30.0,0.07,9.1
0,10.4,0.6,0.63,0.84,35.0,0.08800000000000001,12.8
0,9.2,0.56,0.35,0.55,66.0,0.07400000000000001,7.8
0,12.8,0.65,0.69,0.37,24.0,0.078,11.9
0,9.5,0.49,0.63,0.39,18.0,0.091,12.3
0,9.9,0.89,0.55,0.41,54.0,0.076,10.4
0,10.2,0.56,0.3,0.67,62.0,0.06,8.0
0,11.2,0.66,0.73,0.45,22.0,0.066,11.1
0,9.3,0.6,0.18,0.62,50.0,0.062,7.0
1,9.8,0.82,0.72,0.31,29.0,0.07200000000000001,12.6
0,11.3,0.68,0.65,0.4,27.0,0.068,11.9
1,11.2,0.68,0.76,0.685,43.0,0.1,15.6
1,11.6,0.63,0.49,0.44,19.0,0.077,10.0
1,12.5,0.84,0.01,0.57,27.0,0.054000000000000006,5.3
0,10.1,0.56,0.1,0.735,31.0,0.079,9.5
0,10.5,0.73,0.6,0.38,72.0,0.081,12.5
0,11.2,0.72,0.29,0.48,16.0,0.127,9.3
0,10.2,0.56,0.22,0.53,27.0,0.1,8.6
0,10.8,0.61,0.69,0.39,35.0,0.095,11.9
0,9.1,1.06,0.53,0.37,26.0,0.413,8.4
0,10.0,0.63,0.03,0.56,35.0,0.084,6.8
1,11.2,0.74,0.63,0.33,22.0,0.084,10.4
0,11.1,0.63,0.4,0.23,67.0,0.063,7.0
1,13.4,0.69,0.67,0.62,19.0,0.086,11.3
0,10.3,0.58,0.39,0.59,22.0,0.095,8.9
0,9.6,0.58,0.21,0.63,65.0,0.097,9.2
0,9.0,0.57,0.66,0.58,47.0,0.07400000000000001,11.6
0,11.3,0.61,0.52,0.43,23.0,0.083,9.2
0,9.3,0.61,0.22,0.615,19.0,0.087,8.3
0,11.8,0.61,0.68,0.26,25.0,0.085,11.0
0,9.0,0.53,0.7,0.66,129.0,0.098,8.1
0,9.2,0.7,0.54,0.315,15.0,0.084,11.5
0,9.7,0.91,0.4,0.29,26.0,0.098,10.0
0,11.5,0.72,0.42,0.5,51.0,0.069,10.3
0,14.0,0.79,0.45,0.46,18.0,0.065,8.8
0,9.2,0.62,0.69,0.36,21.0,0.09,11.4
0,9.8,0.58,0.02,0.82,48.0,0.07,8.7
0,10.6,0.61,0.65,0.32,47.0,0.093,13.0
0,11.4,0.71,0.42,0.54,52.0,0.081,9.6
0,10.4,0.82,0.55,0.37,68.0,0.083,12.5
0,10.6,0.79,0.55,0.35,14.0,0.062,9.9
0,9.4,0.89,0.51,0.28,24.0,0.08,10.5
0,10.2,0.6,0.24,0.68,28.0,0.087,9.6
0,9.7,0.7,0.41,0.27,16.0,0.091,9.3
0,11.0,1.06,0.49,0.24,20.0,0.075,10.4
0,10.1,0.7,0.11,0.685,31.0,0.077,9.4
0,9.2,0.66,0.39,0.28,23.0,0.069,10.6
1,11.7,0.92,0.56,0.3,17.0,0.08,9.4
0,9.4,1.05,0.59,0.36,18.0,0.152,10.6
0,9.4,1.06,0.6,0.36,18.0,0.152,10.6
0,13.4,0.66,0.68,0.44,24.0,0.114,10.6
0,10.0,0.47,0.39,0.67,17.0,0.054000000000000006,10.2
0,10.0,0.42,0.36,0.645,14.0,0.053,10.2
1,10.8,0.92,0.55,0.32,67.0,0.081,11.6
0,10.2,0.75,0.4,0.39,26.0,0.073,9.3
0,10.6,0.67,0.27,0.775,56.0,0.078,9.3
1,13.3,0.79,0.5,0.41,25.0,0.055,9.2
1,13.4,0.9,0.51,0.4,27.0,0.052000000000000005,8.9
0,11.6,0.74,0.31,0.69,81.0,0.086,8.7
0,12.1,0.55,0.23,0.39,91.0,0.051,6.5
1,11.0,0.65,0.53,0.35,16.0,0.07,10.7
0,9.0,0.65,0.25,0.52,38.0,0.081,7.8
0,11.1,0.79,0.32,0.34,113.0,0.09,7.2
1,12.0,0.85,0.73,0.44,76.0,0.07400000000000001,10.4
1,10.9,1.04,0.47,0.26,24.0,0.078,10.5
1,10.8,1.05,0.42,0.24,22.0,0.077,10.5
1,12.5,0.78,0.63,0.49,26.0,0.07200000000000001,10.2
1,10.8,1.02,0.46,0.24,21.0,0.075,10.4
0,9.5,0.71,0.55,0.67,13.0,0.084,11.2
0,10.2,0.63,0.31,0.59,62.0,0.09,10.0
1,11.4,0.68,0.75,0.29,43.0,0.084,13.3
0,9.5,0.61,0.49,0.42,43.0,0.073,12.4
0,9.7,0.81,0.48,0.4,49.0,0.125,10.7
1,11.8,0.66,0.64,0.51,15.0,0.107,10.5
0,9.3,1.14,0.49,0.655,151.0,0.122,8.5
0,11.9,0.74,0.49,0.6,14.0,0.1,12.5
0,8.4,0.63,0.49,0.61,16.0,0.2,10.4
